date,season,opponent,period,minute,second,x,y,end_x,end_y,dest_zone,outcome,distance_m,angle_deg,curve_score,flight_metric,speed_ms,result,xt_start,xt_end,xt_delta,goal_diff,vaep_value,p_score_delta,p_concede_delta,scored_in_seq,conceded_in_seq,pm_score,rapm,xc_stage1,xc_stage2,xc
2017-09-30,WSL 2017-2018,Manchester City WFC,2,90,13,98.5,12.2,94.4,49.7,Center,0,25.9,99.6,-0.34,1.7,8.63,incomplete,0.02956,0.1051,0.07554,-3,-0.00224,-0.00202,0.00023,False,False,-0.2,-0.11154,0.3340248184471621,0.6135277311092817,0.2049334889960771
2017-10-08,WSL 2017-2018,Bristol City WFC,2,68,1,9.2,22.2,3.6,67.2,Center,1,31.2,100.9,-0.98,4.9,7.8,shot_ot,0.00506,0.01223,0.00717,0,0.09523,0.09109,-0.00415,False,False,0.6,-0.11154,0.4903871553693426,0.4078859303219847,0.20002202108577596
2017-11-12,WSL 2017-2018,Sunderland WFC,1,31,43,76.7,17.3,86.2,53.6,Center,1,26.6,68.0,-0.24,1.2,13.3,cleared,0.01842,0.05765,0.03923,0,0.06419,0.06351,-0.00068,False,False,-0.1,-0.11154,0.38066963249997793,0.522668425206175,0.19896399734257683
2017-11-12,WSL 2017-2018,Sunderland WFC,2,48,27,4.4,75.4,1.8,51.3,Center,0,16.6,-99.5,0.28,1.4,8.3,incomplete,0.00826,0.01657,0.00831,0,0.01843,0.01816,-0.00027,False,False,-0.2,-0.11154,0.32744693359635985,0.5397962606969641,0.17675463033200214
2018-01-28,WSL 2017-2018,Reading WFC,1,44,58,9.9,15.8,,61.2,Center,0,33.3,,-1.0,5.1,33.3,incomplete,0.00506,,,0,0.01397,0.01098,-0.003,False,False,-0.2,-0.11154,0.49206741666039744,0.45809317722971465,0.2254127263091793
2018-04-01,WSL 2017-2018,Chelsea FC Women,1,21,22,99.3,17.9,91.9,61.7,Center,0,30.8,104.6,-0.36,1.8,15.4,incomplete,0.04692,0.1051,0.05818,0,0.00507,0.00505,-2e-05,False,False,-0.2,-0.11154,0.4984114427937814,0.37842800599772536,0.18861284846290005
2018-04-01,WSL 2017-2018,Chelsea FC Women,2,83,59,4.9,10.3,4.5,35.8,Center,0,17.3,91.4,-0.94,4.7,17.3,incomplete,0.00638,0.01223,0.00585,0,-0.01368,-0.01353,0.00014,False,False,-0.2,-0.11154,0.2736382332872275,0.33441903047777877,0.09150983267756686
2018-04-24,WSL 2017-2018,Liverpool FCW,1,34,1,93.2,23.1,91.4,100.0,Left,0,53.7,92.1,-0.32,1.6,53.7,incomplete,0.04692,0.01827,-0.02865,0,-0.0354,-0.03538,2e-05,False,False,-0.2,-0.11154,0.7739297404892521,0.002547080524355243,0.0019712613692194816
2018-04-24,WSL 2017-2018,Liverpool FCW,2,64,32,13.5,83.8,22.1,33.1,Center,1,35.6,-75.3,0.36,1.8,35.6,cleared,0.00506,0.00455,-0.00051,0,0.02083,0.02144,0.00061,False,False,-0.1,-0.11154,0.5470898281238183,0.2219450649253782,0.12142388742295486
2018-04-24,WSL 2017-2018,Liverpool FCW,2,67,11,24.6,92.9,11.0,62.7,Center,0,25.0,-124.8,0.2,1.0,25.0,incomplete,0.00175,0.00735,0.0056,1,0.00829,0.00734,-0.00095,False,False,-0.2,-0.11154,0.3998888028614115,0.3210486139790866,0.12838374590441234
